Socioeconomic,,Limited English speaking,"Percent of people in a block group living in limited English speaking households. A household in which all members age 14 years and over speak a non-English language and also speak English less than ""very well"" (have difficulty with English) is limited English speaking.",,
Socioeconomic,,Less than high school education,Percent of people age 25 or older in a block group whose education is short of a high school diploma.,,
Socioeconomic,,Under age 5,Percent of people in a block group under the age of 5.,,
Socioeconomic,,Over age 64,Percent of people in a block group over the age of 64.,,
Socioeconomic,,Demographic Index,"The demographic index in EJScreen is a combination of percent low-income and percent minority, the two socioeconomic factors that were explicitly named in Executive Order 12898 on Environmental Justice. For each Census block group, these two numbers are simply averaged together. The formula is as follows: demographic index = (% people of color + % low-income) / 2.",,
Socioeconomic,,Supplemental Demographic Index,"The supplemental demographic index in EJScreen is a combination of five socioeconomic factors averaged together for each Census block group. The supplemental demographic index can provide an additional perspective on potential community vulnerability and may be more relevant for use in certain situations. The formula is as follows: supplemental demographic index = (% low-income + % persons with disabilities + % less than high school education + % limited English speaking + low life expectancy) / 5. For block groups where low life expectancy data is missing, the formula will average the other four factors.",,
EJIndex,Index,Particulate matter 2.5 (PM 2.5),"The Particulate Matter (PM)2.5 EJ Index combines the environmental burden indicator for PM2.5 with the demographic index (an average of % low-income and % people of color) for each census block group. The environmental burden indicator for PM2.5 measures the potential exposure to inhalable particles 2.5 microns or smaller (about 30 times smaller than the width of human hair) in terms of annual average concentration in micrograms per cubic meter (µg/m3). EJScreen presents PM2.5 concentrations using percentile rank, ranging from 0 (lowest) to 100 (highest). This indicator does not designate compliance with the national ambient air quality standard for PM2.5. Source: EPA’s Office of Air and Radiation. For more details on the PM2.5 indicator, including why it is important and what you can do moving forward, please visit the EJScreen Indicator Overview for PM2.5.",,
EJIndex,Index,Ozone,"The Ozone EJ Index combines the environmental burden indicator for ozone with the demographic index (an average of % low-income and % people of color) for each census block group. The environmental burden indicator for ozone measures how much ground-level ozone people might be exposed to by looking at the highest levels of ozone recorded at the ground-level and averaging the top ten days of the year. Ozone concentrations were measured as daily maximum eight-hour averages. EJScreen presents ground-level ozone concentrations using percentile rank, ranging from 0 (lowest) to 100 (highest). This indicator does not designate compliance with the national ambient air quality standard for ozone. Source: EPA’s Office of Air and Radiation. For more details on the ozone indicator, including why it is important and what you can do moving forward, please visit the EJScreen Indicator Overview for Ozone.",,
EJIndex,Index,Nitrogen Dioxide (NO2),"The NO2 EJ Index combines the environmental burden indicator for NO2 with the demographic index (an average of % low-income and % people of color) for each census block group. The environmental burden indicator for NO2 measures how much surface level NO2 people might be exposed to in terms of annual average concentration in parts per billion. EJScreen presents surface level NO2 concentrations using percentile rank, ranging from 0 (lowest) to 100 (highest). This indicator does not designate compliance with the national ambient air quality standard for NO2. Source: Goddard Earth Sciences Data and Information Services Center. For more details on the NO2 indicator, including why it is important and what you can do moving forward, please visit the EJScreen Indicator Overview for NO2.",,
EJIndex,Index,Diesel particulate matter,"The Diesel Particulate Matter (PM) EJ Index combines the environmental burden indicator for diesel PM with the demographic index (an average of % low-income and % people of color) for each census block group. The environmental burden indicator for diesel PM measures how much diesel PM (a mixture of particles from diesel exhaust) people might be exposed to in terms of micrograms per cubic meter (µg/m3). EJScreen presents diesel PM concentrations using percentile rank, ranging from 0 (lowest) to 100 (highest). Source: EPA’s Air Toxics Screening Assessment. For more details on the diesel PM indicator, including why it is important and what you can do moving forward, please visit the EJScreen Indicator Overview for Diesel PM.",,
EJIndex,Index,Toxic Releases to Air,"The Toxic Releases to Air EJ Index combines the environmental burden indicator for toxic releases to air with the demographic index (an average of % low-income and % people of color) for each census block group. The environmental burden indicator for toxic releases to air measures the average annual chemical concentrations in air weighted by the toxicity of each chemical. This indicator includes chemicals covered by EPA’s Toxics Release Inventory (TRI) Program which can cause cancer, other significant human health effects, are reactive, ignitable, or cause significant adverse environmental effects. EJScreen presents these toxic releases using percentile rank, ranging from 0 (lowest) to 100 (highest). Source: EPA’s RSEI Geographic Microdata. For more details on the toxic releases to air indicator, including why it is important and what you can do moving forward, please visit the EJScreen Indicator Overview for Toxic Releases to Air.",,
EJIndex,Index,Traffic proximity and volume,"The Traffic Proximity EJ Index combines the environmental burden indicator for traffic proximity with the demographic index (an average of % low-income and % people of color) for each census block group. The environmental burden indicator for traffic proximity measures the count of vehicles per day (average annual daily traffic- AADT) divided by distance. EJScreen presents traffic proximity using percentile rank, ranging from 0 (lowest) to 100 (highest). Source: U.S. Department of Transportation National Transportation Atlas Database, Highway Performance Monitoring System. For more details on the traffic proximity indicator, including why it is important and what you can do moving forward, please visit the EJScreen Indicator Overview for Traffic Proximity.",,
EJIndex,Index,Lead paint,"The Lead Paint EJ Index combines the environmental burden indicator for lead paint with the demographic index (an average of % low-income and % people of color) for each census block group. The environmental burden indicator for lead paint is based on the percentage of housing units built before 1960, a proxy for how much lead paint people might be exposed to. EJScreen presents this potential exposure to lead paint using percentile rank, ranging from 0 (lowest) to 100 (highest). Source: Census Bureau's American Community Survey 5-year summary estimates. For more details on the lead paint indicator, including why it is important and what you can do moving forward, please visit the EJScreen Indicator Overview for Lead Paint.",,
EJIndex,Index,Superfund proximity,"The Superfund Proximity EJ Index combines the environmental burden indicator for Superfund proximity with the demographic index (an average of % low-income and % people of color) for each census block group. The environmental burden indicator for Superfund proximity measures how close people might live to sites listed on the National Priorities List (NPL). This indicator calculates the total count of sites proposed and listed on the NPL within 5 km (or nearest within 10 km), divided by distance. EJScreen presents Superfund proximity using percentile rank, ranging from 0 (lowest) to 100 (highest). Source: EPA’s CERCLIS database. For more details on the Superfund proximity indicator, including why it is important and what you can do moving forward, please visit the EJScreen Indicator Overview for Superfund Proximity.",,
EJIndex,Index,Risk management plan (RMP) facility proximity,"The RMP Facility Proximity EJ Index combines the environmental burden indicator for RMP facility proximity with the demographic index (an average of % low-income and % people of color) for each census block group. The environmental burden indicator for RMP facility proximity measures how close people might live to an active facility with a required Risk Management Plan (potential chemical accident management plan). This indicator calculates the total count of RMP facilities within 5 km (or nearest within 10 km), divided by distance. EJScreen presents RMP facility proximity using percentile rank, ranging from 0 (lowest) to 100 (highest). Source: EPA’s RMP database. For more details on the RMP facility proximity indicator, including why it is important and what you can do moving forward, please visit the EJScreen Indicator Overview for RMP Facility Proximity.",,
EJIndex,Index,Hazardous waste proximity,"The Hazardous Waste Proximity EJ Index combines the environmental burden indicator for hazardous waste proximity with the demographic index (an average of % low-income and % people of color) for each census block group. The environmental burden indicator for hazardous waste proximity measures how close people might live to a facility that handles hazardous waste. This indicator calculates the total count of hazardous waste facilities (TSDFs and LQGs) within 5 km (or nearest within 10 km), divided by distance. EJScreen presents hazardous waste proximity using percentile rank, ranging from 0 (lowest) to 100 (highest). Source: EPA’s RCRAInfo database. For more details on the hazardous waste indicator, including why it is important and what you can do moving forward, please visit the EJScreen Indicator Overview for Hazardous Waste Proximity.",,
EJIndex,Index,Underground storage tanks (UST) and leaking UST (LUST),"The UST EJ Index combines the environmental burden indicator for UST with the demographic index (an average of % low-income and % people of color) for each census block group. The environmental burden indicator for UST measures how many underground storage tanks and UST release sites are near where people live. This indicator is based on the sum of LUSTs and USTs within a 1,500-foot buffered block group. EJScreen presents this relative density of USTs using percentile rank, ranging from 0 (lowest) to 100 (highest). Source: EPA’s UST Finder tool. For more details on the UST indicator, including why it is important and what you can do moving forward, please visit the EJScreen Indicator Overview for UST.",,
EJIndex,Index,Wastewater discharge,"The Wastewater Discharge EJ Index combines the environmental burden indicator for wastewater discharge with the demographic index (an average of % low-income and % people of color) for each census block group. The environmental burden indicator for wastewater discharge measures how much relative risk there is of being exposed to pollutants from wastewater that flows into rivers or other bodies of water downstream. This relative risk is based on estimated concentrations of pollutants in downstream water bodies within 500 meters, divided by distance in km. EJScreen presents wastewater discharge proximity using percentile rank, ranging from 0 (lowest) to 100 (highest). Source: EPA’s RSEI modeled toxic concentrations to stream reach segments. For more details on the wastewater discharge indicator, including why it is important and what you can do moving forward, please visit the EJScreen Indicator Overview for Wastewater Discharge.",,
EJIndex,Index,Drinking water non-compliance,"The Drinking Water Non-Compliance EJ Index combines the environmental burden indicator for drinking water non-compliance with the demographic index (an average of % low-income and % people of color) for each census block group. The environmental burden indicator for drinking water non-compliance highlights populations served by community water systems that have challenges complying with Safe Drinking Water Act requirements. Points are calculated using a modified version of EPA’s Enforcement Targeting Tool criteria, which accounts for violation severity and age. EJScreen presents drinking water non-compliance using percentile rank, ranging from 0 (lowest) to 100 (highest). Source: EPA’s Safe Drinking Water Information System & Drinking Water Enforcement Response Policy and Enforcement Targeting Tool. For more details on the drinking water non-compliance indicator, including why it is important and what you can do moving forward, please visit the EJScreen Indicator Overview for Drinking Water Non-Compliance.",,
Climate,,Flood Risk,"The First Street Foundation Flood Model is a nationwide probabilistic flood model that shows the risk of flooding at any location in all 50 states and Puerto Rico due to rainfall (pluvial), riverine flooding (fluvial), and coastal surge flooding. While other hydraulic and hydrologic models show refined risks of flooding in certain areas, this model provides complete coverage across the United States at 3-meter resolution. The First Street Foundation Flood Model provides a consistent and unified methodology across the entire country with continuous outputs. This extends into areas that have no previous flood modeling and even areas that do not have recorded hydrologic data. As a result, there is increased visibility into new regions of the entire country.",,
Climate,,Wildfire Risk,"The First Street Foundation-Wildfire Model (FSF-WFM) is a 30 meter resolution model representing the wildfire exposure for any specific location in the contiguous US, today and with the future climate change. The risk of wildfire is derived from a series of inputs associated with fire fuels, weather, human influence, and fire movement. Bringing all of these inputs together, at a national scale, in a high-resolution, climate-adjusted model represents a first-of-its-kind property-level wildfire risk model. In the development of the model, U.S. Federal Government open data are used for the foundational topography, fuels, weather, climate, and historical disturbances information, and additional data were added from a variety of state and local wildfire and land management sources to facilitate a both high resolution and future-facing (estimates both for today and for 30 years ahead) product.",,
Climate,,100 Year Floodplain,"This 100 Year Floodplain map displays areas estimated to be inundated by a 100-year flood, also known as the 1% annual chance flood. These data are based on the Federal Emergency Management Agency (FEMA) 100-year flood inundation maps with the goal of creating a seamless floodplain map at 30-meter resolution for the conterminous United States. This map identifies a given pixel's membership in the 100-year floodplain and completes areas that FEMA has not yet mapped. This dataset was developed for EPA's EnviroAtlas tool.",,
Climate,,Sea Level Rise (NOAA),"This dataset depicts land at risk of permanent flooding when sea level rises. There are six map layers showing the area inundated at one, two, three, four, five and six feet of sea level rise. Over the next 30 years, scientists estimate a one to three-foot rise along most of the U.S. coastline. These data can be used to look for areas of potential permanent inundation based on chosen sea level rise estimates (i.e., 1 to 6 feet) in relation to locations of social and economic vulnerability.",,
Climate,,Extreme Heat,"This dataset provides a screening level assessment of extreme heat potential by census block group. This dataset describes the average number of days over 90º F (from 2019-2023) per block group. This is calculated from PRISM Climate Group’s gridded daily Tmax estimates. Note this is dry-bulb temperature, and does not factor in humidity.",,
Health,,Low Life Expectancy,"Average life expectancy data developed as a collaboration between NCHS, the National Association for Public Health Statistics and Information Systems, and the Robert Wood Johnson Foundation. This data is available at the tract level; the same tract value is then assigned to all sub block groups.",,
Health,,Heart Disease,"Heart disease prevalence among adults aged 18 years or older. The term ""heart disease"" refers to several types of heart conditions. This data is available at the tract level; the same tract value is then assigned to all sub block groups.",,
Health,,Asthma,Asthma prevalence among adults aged 18 or older. This data is available at the tract level; the same tract value is then assigned to all sub block groups.,,
Health,,Cancer,Cancer (excluding skin cancer) prevalence among adults aged 18 or older. This data is available at the Census tract level; the same tract value is then assigned to all sub block groups.,,
Health,,Persons with Disabilities,"Percent of all persons with disabilities. Considers six disability types: hearing difficulty, vision difficulty, cognitive difficulty, ambulatory difficulty, self-care difficulty, and independent living difficulty. Respondents who report any one of the six disability types are considered to have a disability. For more information on each disability type visit: Census.gov: How Disability Data are Collected from The American Community Survey.",,
CriticalServiceGaps,,Broadband Gaps,Areas with the lowest rate of households with a broadband internet subscription.,,
CriticalServiceGaps,,Lack of Health Insurance,Percent of all persons without Health Insurance Coverage.,,
CriticalServiceGaps,,Housing Burden,"This dataset contains census tract level percentiles for housing cost, which is the share of households that are both earning less than 80% of Housing and Urban Development’s Area Median Family Income and are spending more than 30% of their income on housing costs. The housing cost percentiles were adopted as Housing Burden for EJScreen.",,
CriticalServiceGaps,,Transportation Access,"The Average of Transportation Indicator uses an average of four transportation-related indicator percentiles, including Transportation Cost Burden, National Walkability Index, Percentage of Households with No Vehicle Available, and Mean Commute Time to Work. It was renamed to Transportation Access for EJScreen.",,
CriticalServiceGaps,,Food Desert,Low income and low access tract measured at 1 mile for urban areas and 10 miles for rural areas. This data is available at the tract level.,,
Facilities,,Superfund,"The Superfund Enterprise Management System (SEMS) provides information regarding sites under the Comprehensive Environmental Response, Compensation, and Liability Act -- otherwise known as CERCLA or Superfund. CERCLA provides a Federal ""Superfund"" to locate, investigate, and clean up uncontrolled or abandoned hazardous-waste sites as well as accidents, spills, and other emergency releases of pollutants and contaminants into the environment. The National Priorities List (NPL) is the list of national priorities among the known releases or threatened releases of hazardous substances, pollutants, or contaminants throughout the United States and its territories.",,
Facilities,,Hazardous Waste (TSDF and LQGs),"Hazardous waste information contained in the Resource Conservation and Recovery Act Information (RCRAInfo) includes an inventory on all generators, transporters, treaters, storers, and disposers of hazardous waste that are required to provide information about their activities.",,
Facilities,,Water Dischargers (NPDES),"As authorized by the Clean Water Act, the National Pollutant Discharge Elimination System (NPDES) permit program controls water pollution by regulating sources, such as municipal and industrial wastewater treatment facilities, that discharge pollutants into waters of the United States. EPA tracks water discharge permits through the Permit Compliance System (PCS) and Integrated Compliance Information System (ICIS) databases, which includes information on when a permit was issued and when it expires, how much the company is permitted to discharge, and the actual monitoring data showing what the company has discharged.",,
Facilities,,Air Pollution (ICIS-AIR),"The air pollution data (ICIS-AIR) contains compliance and permit data for stationary sources of air pollution (such as electric power plants, steel mills, factories, and universities) regulated by EPA, state and local air pollution agencies. The information in ICIS-AIR is used by the states to prepare State Implementation Plans (SIPs) and to track the compliance status of point sources with various regulatory programs under Clean Air Act.",,
Facilities,,Brownfields (ACRES),"The Assessment, Cleanup and Redevelopment Exchange System (ACRES) captures grantee reported data on environmental activities and accomplishments (assessment, cleanup and redevelopment), funding, job training, and details on cooperative partners and leveraging efforts for the Brownfields Program. The information in ACRES is provided at the property and grant level.",,
Facilities,,Toxics Release Inventory,"As authorized under the Emergency Planning and Community Right-to-Know Act (EPCRA) and the Pollution Prevention Act (PPA), the Toxics Release Inventory (TRI) tracks the management of certain toxic chemicals that may pose a threat to human health and the environment. U.S. facilities in different industry sectors must report annually how much of each chemical is released to the environment and/or managed through recycling, energy recovery and treatment.",,
Facilities,,Chemical Data Reporting (TSCA),"The Toxic Substances Control Act (TSCA) grants EPA broad authority to issue regulations designed to gather health/safety and exposure information on, require testing of, and control exposure to chemical substances and mixtures. Under Section 8(a) of TSCA, the Chemical Data Reporting (CDR) rule requires manufacturers (including importers) to report information every four years on the production and use of chemicals in commerce. This map shows point locations for sites that submitted CDR reports to EPA during the most recent reporting cycle (2020).",,
Facilities,,Facilities Compliance Status,"The map layer uses the Enforcement and Compliance History Online (ECHO) standard facility symbology to illustrate the programs each facility is regulated under, whether they are in noncompliance, and how long it has been since the last inspection. Users can choose to view all facilities or tailor the view to facilities regulated under the Clean Air Act, Clean Water Act, or Resource Conservation and Recovery Act. Source: This includes data about EPA-regulated facilities from the All Media Programs facility search and the ECHO Exporter.",,
Air,,Air Toxics Cancer Risk,"The air toxics cancer risk data is the estimated lifetime inhalation cancer risk from the analyzed carcinogens in ambient outdoor air, as provided by EPA’s AirToxScreen. The value of the indicator is persons per million over a 70-year lifetime. The data is reported at the Census block level.",,
Air,,Nonattainment Areas,"If the air quality in a geographic area meets or is cleaner than the National Ambient Air Quality Standard (NAAQS), it is called an attainment area; areas that don't meet the national standard are called nonattainment areas. In some cases, EPA is not able to determine an area's status after evaluating the available information and those areas are designated ""unclassifiable."" These are areas that do not meet (or that contributes to ambient air quality in a nearby area that does not meet) the national primary or secondary ambient air quality standard for a NAAQS.",,
Air,,RSEI Score,"A RSEI Score is a unitless value that accounts for the size of the chemical release, the fate and transport of the chemical through the environment, the size and location of the exposed population, and the chemical's toxicity. A RSEI Score is calculated as toxicity weight multiplied by the exposed population multiplied by the estimated dose. RSEI Scores are only meaningful in comparison to other RSEI Scores.",,
Water,,Impaired Water Points,"The Impaired Water Points layer includes points that are too polluted or otherwise degraded to meet the water quality standards set by states, territories, or authorized tribes. These water points are on the CWA 303(d) list and are required to develop a total maximum daily load (TMDL). This set of water points are provided by the Assessment, Total Maximum Daily Load Tracking and Implementation System (ATTAINS).",,
Water,,Impaired Streams,"The Impaired Streams layer includes streams that are too polluted or otherwise degraded to meet the water quality standards set by states, territories, or authorized tribes. These streams are on the CWA 303(d) list and are required to develop a total maximum daily load (TMDL). These stream segments are provided by the Assessment, Total Maximum Daily Load Tracking and Implementation System (ATTAINS).",,
Water,,Impaired Water Bodies,"The Impaired Water Bodies layer includes bodies of water that are too polluted or otherwise degraded to meet the water quality standards set by states, territories, or authorized tribes. These water bodies are on the CWA 303(d) list and are required to develop a total maximum daily load (TMDL). This set of water areas are provided by the Assessment, Total Maximum Daily Load Tracking and Implementation System (ATTAINS).",,
Water,,Impaired Catchment,"The Impaired Catchment layer includes catchment assessment units that are too polluted or otherwise degraded to meet the water quality standards set by states, territories, or authorized tribes. These water bodies are on the CWA 303(d) list and are required to develop a total maximum daily load (TMDL). This set of water areas are provided by the Assessment, Total Maximum Daily Load Tracking and Implementation System (ATTAINS).",,
Water,,Streams,The Streams layer includes linear surface water features throughout the United States. The streams layer is based on the National Hydrography Dataset (NHD).,,
Water,,Water Bodies,"The Water Bodies layer includes area surface features such as ponds, lakes and wide rivers. The water bodies layer is from U.S. Census Bureau TIGER/Line data.",,
Water,,Sole Source Aquifers,"The Sole Source Aquifer layer includes information on the sole source aquifers (SSA) designated by EPA under section 1424(e) of the Safe Drinking Water Act of 1974. SSA's supply at least 50 percent of the drinking water consumed in the area overlying the aquifer. These areas may have no alternative drinking water source(s) that could physically, legally and economically supply all those who depend on the aquifer for drinking water.",,
Water,,Private Water Wells,"Approximately 20% of people in the US get their water from a private domestic well. These water sources are exempt from federal regulations and often go untested for contaminates such as nitrates, nitrites, and e-coli to name just a few. These map layers developed by the US EPA describe 2020 estimated private domestic drinking water wells by percent population served. Data is at the Census block geography.",,
Water,,Drinking Water Service Areas,"Community water system (CWS) service areas describe the geographic area that a water system serves. This map layer describes the geographic extent of over 44,000 community water system service areas, and accounts for around 99% of all people served by a community water system. Approximately 40% of these system's service areas were gathered from state sources. The remaining service areas were modeled using various explanatory variables, such as housing unit density.",,
TribeIndigenousLands,,Central Council of the Tlingit & Haida Indian Tribes,Central Council of the Tlingit and Haida Indian Tribes (Juneau),,
TribeIndigenousLands,,King Salmon Tribe,King Salmon Tribe,,
TribeIndigenousLands,,Native Village of Unga,"Unga, Native Village of",,
TribeIndigenousLands,,Native Village of Georgetown,"Georgetown, Native Village of",,
TribeIndigenousLands,,Native Village of Afognak,"Afognak, Village of",,
TribeIndigenousLands,,Pauloff Harbor Village,Pauloff Harbor Village,,
TribeIndigenousLands,,Native Village of Paimiut,"Paimiut, Native Village of",,
TribeIndigenousLands,,Kaguyak Village,Kaguyak Village,,
TribeIndigenousLands,,Tangirnaq Native Village,Tangirnaq Native Village,,
TribeIndigenousLands,,Native Village of Hamilton,"Hamilton, Native Village of",,
TribeIndigenousLands,,Chuloonawick Native Village,Chuloonawick Native Village,,
TribeIndigenousLands,,Umkumiut Native Village,Umkumiute Native Village (Umkimute),,
TribeIndigenousLands,,Native Village of Mary's Igloo,"Marys Igloo, Native Village of",,
TribeIndigenousLands,,Village of Ohogamiut,"Ohogamiut, Village of",,
TribeIndigenousLands,,Village of Bill Moore's Slough,"Bill Moores Slough, Village of",,
TribeIndigenousLands,,Qawalangin Tribe of Unalaska,Qawalangin Tribe of Unalaska,,
TribeIndigenousLands,,Iqugmiut Traditional Council,Iqurmuit Traditional Council (Russian Mission),,
TribeIndigenousLands,,Native Village of Ouzinkie,"Ouzinkie, Native Village of",,
TribeIndigenousLands,,Village of Chefornak,"Chefornak, Village of",,
TribeIndigenousLands,,Organized Village of Grayling (aka Holikachuk),"Grayling, Organized Village of (Holikachuk)",,
TribeIndigenousLands,,Asa'carsarmiut Tribe,Asacarsarmiut Tribe (Mountain Village),,
TribeIndigenousLands,,Manokotak Village,Manokotak Village,,
TribeIndigenousLands,,Native Village of Port Heiden,"Port Heiden, Native Village of",,
TribeIndigenousLands,,Native Village of Savoonga,"Savoonga, Native Village of",,
TribeIndigenousLands,,Native Village of Shaktoolik,"Shaktoolik, Native Village of",,
TribeIndigenousLands,,Native Village of Diomede (aka Inalik),"Diomede, Native Village of (Inalik)",,
TribeIndigenousLands,,Native Village of False Pass,"False Pass, Native Village of",,
TribeIndigenousLands,,Agdaagux Tribe of King Cove,Agdaagux Tribe of King Cove,,
TribeIndigenousLands,,Native Village of Akutan,"Akutan, Native Village of",,
TribeIndigenousLands,,Native Village of Atka,"Atka, Native Village of",,
TribeIndigenousLands,,"Native Village of Chuathbaluk (Russian Mission, Kuskokwim)","Chuathbaluk, Native Village of",,
TribeIndigenousLands,,Ivanof Bay Tribe,Ivanoff Bay Village,,
TribeIndigenousLands,,Native Village of Perryville,"Perryville, Native Village of",,
TribeIndigenousLands,,Native Village of Tetlin,"Tetlin, Native Village of",,
TribeIndigenousLands,,Native Village of Tuntutuliak,"Tuntutuliak, Native Village of",,
TribeIndigenousLands,,Native Village of Chignik Lagoon,"Chignik Lagoon, Native Village of",,
TribeIndigenousLands,,Chignik Lake Village,Chignik Lake Village,,
TribeIndigenousLands,,Native Village of Belkofski,"Belkofski, Native Village of",,
TribeIndigenousLands,,Birch Creek Tribe,Birch Creek Tribe,,
TribeIndigenousLands,,Kokhanok Village,Kokhanok Village,,
TribeIndigenousLands,,Pedro Bay Village,Pedro Bay Village,,
TribeIndigenousLands,,Native Village of Kongiganak,"Kongiganak, Native Village of",,
TribeIndigenousLands,,Native Village of Minto,"Minto, Native Village of",,
TribeIndigenousLands,,Healy Lake Village,Healy Lake Village,,
TribeIndigenousLands,,Village of Dot Lake,"Dot Lake, Village of",,
TribeIndigenousLands,,Mentasta Traditional Council,Mentasta Traditional Council,,
TribeIndigenousLands,,Portage Creek Village (aka Ohgsenakale),Portage Creek Village (Ohgsenakale),,
TribeIndigenousLands,,Native Village of Ekuk,"Ekuk, Native Village of",,
TribeIndigenousLands,,Native Village of Nanwalek (aka English Bay),"Nanwalek, Native Village of (English Bay)",,
TribeIndigenousLands,,Salamatof Tribe,Salamatof Tribe,,
TribeIndigenousLands,,Oscarville Traditional Village,Oscarville Traditional Village,,
TribeIndigenousLands,,Village of Atmautluak,"Atmautluak, Village of",,
TribeIndigenousLands,,Native Village of Tazlina,"Tazlina, Native Village of",,
TribeIndigenousLands,,Native Village of Chenega (aka Chanega),"Chanega, Native Village of (Chenega)",,
TribeIndigenousLands,,Native Village of Nelson Lagoon,"Nelson Lagoon, Native Village of",,
TribeIndigenousLands,,Alatna Village,Alatna Village,,
TribeIndigenousLands,,King Island Native Community,King Island Native Community,,
TribeIndigenousLands,,Native Village of Karluk,"Karluk, Native Village of",,
TribeIndigenousLands,,Chalkyitsik Village,Chalkyitsik Village,,
TribeIndigenousLands,,Native Village of Cantwell,"Cantwell, Native Village of",,
TribeIndigenousLands,,Knik Tribe,Knik Tribe,,
TribeIndigenousLands,,Chickaloon Native Village,Chickaloon Native Village,,
TribeIndigenousLands,,Eklutna Native Village,Eklutna Native Village,,
TribeIndigenousLands,,Native Village of Chitina,"Chitina, Native Village of",,
TribeIndigenousLands,,Gulkana Village Council,Gulkana Village Council,,
TribeIndigenousLands,,Native Village of Gakona,"Gakona, Native Village of",,
TribeIndigenousLands,,Cheesh-Na Tribe,Cheesh-Na Tribe (Chistochina),,
TribeIndigenousLands,,Yakutat Tlingit Tribe,Yakutat Tlingit Tribe,,
TribeIndigenousLands,,Skagway Village,Skagway Village,,
TribeIndigenousLands,,Hoonah Indian Association,Hoonah Indian Association,,
TribeIndigenousLands,,Angoon Community Association,Angoon Community Association,,
TribeIndigenousLands,,Organized Village of Kake,"Kake, Organized Village of",,
TribeIndigenousLands,,Wrangell Cooperative Association,Wrangell Cooperative Association,,
TribeIndigenousLands,,Petersburg Indian Association,Petersburg Indian Association,,
TribeIndigenousLands,,Craig Tribal Association,Craig Community Association,,
TribeIndigenousLands,,Klawock Cooperative Association,Klawock Cooperative Association,,
TribeIndigenousLands,,Organized Village of Kasaan,"Kasaan, Organized Village of",,
TribeIndigenousLands,,Hydaburg Cooperative Association,Hydaburg Cooperative Association,,
TribeIndigenousLands,,Ketchikan Indian Community,Ketchikan Indian Community,,
